ARB_ID,SET,BRAND,match,afte3,N_8good
321,7,2,0,3,8
321,8,2,1,1,8
329,1,2,1,1,8
329,2,2,1,1,8
329,3,1,1,2,8
329,4,1,0,2,8
329,5,1,0,2,8
329,6,2,0,2,8
329,7,1,0,2,8
329,8,2,1,1,8
337,1,2,0,3,8
337,2,1,0,3,8
337,3,2,1,1,8
337,4,1,0,3,8
337,5,2,0,3,8
337,6,1,1,1,8
337,7,2,1,1,8
337,8,1,0,3,8
345,1,1,0,3,8
345,2,2,0,3,8
345,3,2,1,1,8
345,4,1,0,3,8
345,5,1,1,1,8
345,6,2,0,3,8
345,7,1,1,1,8
345,8,2,0,3,8
353,1,1,0,2,8
353,2,2,0,3,8
353,3,2,1,1,8
353,4,1,0,3,8
353,5,1,0,3,8
353,6,1,1,1,8
353,7,2,1,1,8
353,8,2,1,1,8
361,1,2,1,1,8
361,2,2,0,3,8
361,3,1,1,1,8
361,4,1,0,3,8
361,5,1,1,1,8
361,6,2,1,1,8
361,7,1,0,3,8
361,8,2,0,3,8
369,1,1,1,1,8
369,2,2,0,2,8
369,3,2,1,1,8
369,4,1,0,2,8
369,5,1,1,1,8
369,6,2,0,2,8
369,7,2,1,1,8
369,8,1,1,1,8
377,1,1,0,2,8
377,2,2,1,1,8
377,3,2,0,2,8
377,4,2,1,1,8
377,5,1,1,1,8
377,6,1,0,2,8
377,7,2,0,2,8
377,8,1,0,2,8
385,1,1,0, , 
385,2,2,0, , 
385,3,2,0, , 
385,4,1,1, , 
385,5,1,1, , 
385,6,1,0, , 
385,7,2,0, , 
385,8,2,1, , 
393,1,1,1,1,8
393,2,1,1,2,8
393,3,2,1,1,8
393,4,2,1,1,8
393,5,1,0,3,8
393,6,1,0,3,8
393,7,2,0,3,8
393,8,2,0,3,8
401,1,1,1,1,8
401,2,1,1,1,8
401,3,1,0,3,8
401,4,2,0,3,8
401,5,2,0,3,8
401,6,2,1,1,8
401,7,1,1,1,8
401,8,2,1,1,8
409,1,1,1,2,8
409,2,1,1,1,8
409,3,2,1,1,8
409,4,2,1,2,8
409,5,1,1,2,8
409,6,2,0,3,8
409,7,1,0,2,8
409,8,2,0,3,8
417,1,2,0,3,8
417,2,1,1,1,8
417,3,2,1,1,8
417,4,2,0,3,8
417,5,1,0,3,8
417,6,1,0,3,8
417,7,2,1,1,8
417,8,1,0,3,8
425,1,2,1,1,8
425,2,1,0,3,8
425,3,2,0,3,8
425,4,1,0,3,8
425,5,1,0,3,8
425,6,2,1,1,8
425,7,2,0,3,8
425,8,1,1,1,8
433,1,2,0,3,8
433,2,1,0,2,8
433,3,1,1,1,8
433,4,1,0,2,8
433,5,2,1,1,8
433,6,2,0,2,8
433,7,2,1,1,8
433,8,1,0,3,8
441,1,1,0,3,8
441,2,2,0,3,8
441,3,1,0,3,8
441,4,2,1,1,8
441,5,1,1,1,8
441,6,2,1,1,8
441,7,1,0,3,8
441,8,2,1,1,8
449,1,2,1,1,8
449,2,1,1,1,8
449,3,2,1,1,8
449,4,1,1,1,8
449,5,1,0,3,8
449,6,2,0,3,8
449,7,2,0,3,8
449,8,1,1,1,8
457,1,1,0,2,2
457,2,1,1,1,2
457,3,2,0, , 
457,4,2,1, , 
457,5,1,1, , 
457,6,2,1, , 
457,7,1,0, , 
457,8,2,0, , 
465,1,1,0,3,8
465,2,1,0,3,8
465,3,2,1,1,8
465,4,2,1,1,8
465,5,1,0,2,8
465,6,1,1,1,8
465,7,2,0,3,8
465,8,2,1,1,8
473,1,1,1,1,8
473,2,1,0,3,8
473,3,1,0,3,8
473,4,2,1,1,8
473,5,1,0,3,8
473,6,2,1,1,8
473,7,2,1,1,8
473,8,2,0,3,8
481,1,2,1,1,8
481,2,2,1,1,8
481,3,1,0,3,8
481,4,2,0,3,8
481,5,1,1,1,8
481,6,2,0,3,8
481,7,1,0,3,8
481,8,1,1,1,8
489,1,2,1,1,8
489,2,1,1,1,8
489,3,1,0,2,8
489,4,2,0,2,8
489,5,2,0,2,8
489,6,1,1,1,8
489,7,1,0,2,8
489,8,2,1,1,8
497,1,2,1,1,8
497,2,1,0,2,8
497,3,1,0,3,8
497,4,1,1,1,8
497,5,1,1,1,8
497,6,2,1,1,8
497,7,2,1,1,8
497,8,2,0,2,8
505,1,2,1,1,8
505,2,2,0,2,8
505,3,2,0,3,8
505,4,1,1,1,8
505,5,2,0,2,8
505,6,1,0,2,8
505,7,1,1,1,8
505,8,1,1,1,8
513,1,1,0,3,8
513,2,2,0,3,8
513,3,2,0,3,8
513,4,1,0,3,8
513,5,2,0,3,8
513,6,1,1,1,8
513,7,2,1,1,8
513,8,1,1,1,8
521,1,1,1,1,8
521,2,1,0,2,8
521,3,1,0,3,8
521,4,1,1,1,8
521,5,2,1,1,8
521,6,2,0,3,8
521,7,2,1,1,8
521,8,2,1,1,8
529,1,2,1, , 
529,2,1,1, , 
529,3,1,0, , 
529,4,2,1, , 
529,5,1,0, , 
529,6,1,0, , 
529,7,2,1, , 
529,8,2,0, , 
537,1,2,0,3,8
537,2,2,1,1,8
537,3,1,0,2,8
537,4,1,1,1,8
537,5,1,0,2,8
537,6,1,0,3,8
537,7,2,1,1,8
537,8,2,1,1,8
545,1,1,0, , 
545,2,2,1, , 
545,3,1,1, , 
545,4,2,1, , 
545,5,2,0, , 
545,6,2,0, , 
545,7,1,0, , 
545,8,1,1, , 
553,1,1,1,1,8
553,2,1,1,1,8
553,3,2,0,1,8
553,4,1,1,1,8
553,5,1,0,2,8
553,6,2,1,1,8
553,7,2,0,3,8
553,8,2,0,3,8
561,1,1,0,2,8
561,2,2,1,1,8
561,3,1,0,2,8
561,4,1,1,2,8
561,5,2,0,2,8
561,6,1,1,1,8
561,7,2,0,2,8
561,8,2,0,2,8
569,1,1,0,3,8
569,2,2,1,1,8
569,3,1,1,1,8
569,4,2,0,3,8
569,5,1,1,1,8
569,6,1,0,2,8
569,7,2,0,3,8
569,8,2,1,1,8
577,1,1,1,1,8
577,2,1,0,3,8
577,3,2,0,2,8
577,4,1,0,2,8
577,5,2,0,2,8
577,6,1,1,1,8
577,7,2,1,1,8
577,8,2,0,2,8
585,1,1,0,3,8
585,2,1,0,2,8
585,3,2,1,1,8
585,4,2,1,1,8
585,5,1,1,2,8
585,6,2,0,2,8
585,7,1,1,1,8
585,8,2,0,2,8
593,1,2,1,1,8
593,2,1,0,3,8
593,3,2,1,1,8
593,4,1,0,3,8
593,5,2,1,1,8
593,6,1,0,3,8
593,7,1,1,1,8
593,8,2,0,3,8
601,1,2,1,1,8
601,2,2,0,3,8
601,3,1,1,1,8
601,4,1,0,2,8
601,5,1,0,3,8
601,6,2,1,1,8
601,7,2,0,3,8
601,8,1,0,3,8
609,1,2,1,1,8
609,2,2,1,1,8
609,3,1,1,1,8
609,4,1,1,1,8
609,5,1,0,3,8
609,6,2,0,3,8
609,7,1,0,3,8
609,8,2,1,1,8
617,1,1,1, , 
617,2,1,1, , 
617,3,2,1, , 
617,4,2,0, , 
617,5,1,0, , 
617,6,2,0, , 
617,7,2,0, , 
617,8,1,0, , 
625,1,2,1,1,8
625,2,1,1,1,8
